tid1,tid2,weight
4j8NMLIzPyNtGDmVBcz5ER,2VBMkgIQ2cT2uReXjniWsS,1.0
4j8NMLIzPyNtGDmVBcz5ER,5X2wla7DcWJMoxfd6OU7WI,0.5
5RgriAx2GoIw4OGMH3UY7z,48wH8bAxvBJO2l14GmNLz7,1.0
5RgriAx2GoIw4OGMH3UY7z,5RgriAx2GoIw4OGMH3UY7z,0.5
48wH8bAxvBJO2l14GmNLz7,5RgriAx2GoIw4OGMH3UY7z,1.0
48wH8bAxvBJO2l14GmNLz7,5IIq5uEYpUZoSjTEjqn7q1,0.5
5RgriAx2GoIw4OGMH3UY7z,5IIq5uEYpUZoSjTEjqn7q1,1.0
5RgriAx2GoIw4OGMH3UY7z,4htrQYWuhYis2w8DqLhpoU,0.5
5IIq5uEYpUZoSjTEjqn7q1,4htrQYWuhYis2w8DqLhpoU,1.0
5IIq5uEYpUZoSjTEjqn7q1,7HBtUA2lj3ljwCRVYsucmO,0.5
4htrQYWuhYis2w8DqLhpoU,7HBtUA2lj3ljwCRVYsucmO,1.0
4htrQYWuhYis2w8DqLhpoU,0jHtHzXJtAbLOMeftlsYTb,0.5
7HBtUA2lj3ljwCRVYsucmO,0jHtHzXJtAbLOMeftlsYTb,1.0
7HBtUA2lj3ljwCRVYsucmO,4rEd7E79dhWtr7lA4sAYX2,0.5
0jHtHzXJtAbLOMeftlsYTb,4rEd7E79dhWtr7lA4sAYX2,1.0
0jHtHzXJtAbLOMeftlsYTb,49fueUd2ik003xurF75RB6,0.5
4rEd7E79dhWtr7lA4sAYX2,49fueUd2ik003xurF75RB6,1.0
4rEd7E79dhWtr7lA4sAYX2,0q3e8Pgy4sgy1dzq5JIWVC,0.5
49fueUd2ik003xurF75RB6,0q3e8Pgy4sgy1dzq5JIWVC,1.0
49fueUd2ik003xurF75RB6,1HGSEG87jSSNAjUZWTFE1y,0.5
0q3e8Pgy4sgy1dzq5JIWVC,1HGSEG87jSSNAjUZWTFE1y,1.0
0q3e8Pgy4sgy1dzq5JIWVC,5CvTu3oU1i3N1W57nt8JOm,0.5
1HGSEG87jSSNAjUZWTFE1y,5CvTu3oU1i3N1W57nt8JOm,1.0
1HGSEG87jSSNAjUZWTFE1y,4gT3mNJA8lnlkYFqGZ8IA2,0.5
5CvTu3oU1i3N1W57nt8JOm,4gT3mNJA8lnlkYFqGZ8IA2,1.0
5CvTu3oU1i3N1W57nt8JOm,0Xcy81PsJCOO6mhLZaQyQ4,0.5
4gT3mNJA8lnlkYFqGZ8IA2,0Xcy81PsJCOO6mhLZaQyQ4,1.0
4gT3mNJA8lnlkYFqGZ8IA2,5p7GiBZNL1afJJDUrOA6C8,0.5
0Xcy81PsJCOO6mhLZaQyQ4,5p7GiBZNL1afJJDUrOA6C8,1.0
0Xcy81PsJCOO6mhLZaQyQ4,5cyoN7OqTcFyApYheHXQ9Y,0.5
18rQjB8xZ46yx4ZXbytc18,49fueUd2ik003xurF75RB6,1.0
18rQjB8xZ46yx4ZXbytc18,5cfIibuUGxlrdXcNaWmAnQ,0.5
49fueUd2ik003xurF75RB6,5cfIibuUGxlrdXcNaWmAnQ,1.0
49fueUd2ik003xurF75RB6,1TquBahz02HCaxj8jy5tTo,0.5
5cfIibuUGxlrdXcNaWmAnQ,1TquBahz02HCaxj8jy5tTo,1.0
5cfIibuUGxlrdXcNaWmAnQ,4ir5WlzsgiP6TEbRtkhCGR,0.5
1TquBahz02HCaxj8jy5tTo,4ir5WlzsgiP6TEbRtkhCGR,1.0
1TquBahz02HCaxj8jy5tTo,5KaCn0CGbo2Mynq5VSgSya,0.5
6P6gCmvRjNwXAGTB6LhTdb,17JA4HlieSH7TY3pQk21MJ,1.0
6P6gCmvRjNwXAGTB6LhTdb,49fueUd2ik003xurF75RB6,0.5
17JA4HlieSH7TY3pQk21MJ,49fueUd2ik003xurF75RB6,1.0
17JA4HlieSH7TY3pQk21MJ,040bfxASXZ4RHrb5my05ZT,0.5
2JEdPACPOWnh9VsnlmCtsl,5adgXHhaKzZlmXojEuKNjl,1.0
2JEdPACPOWnh9VsnlmCtsl,49fueUd2ik003xurF75RB6,0.5
5adgXHhaKzZlmXojEuKNjl,49fueUd2ik003xurF75RB6,1.0
5adgXHhaKzZlmXojEuKNjl,2iy8dyGv0pCf6C6e23OzyV,0.5
49fueUd2ik003xurF75RB6,2iy8dyGv0pCf6C6e23OzyV,1.0
49fueUd2ik003xurF75RB6,4mK0JRfaDrdNpYDPV6SFHp,0.5
2iy8dyGv0pCf6C6e23OzyV,4mK0JRfaDrdNpYDPV6SFHp,1.0
2iy8dyGv0pCf6C6e23OzyV,3JeT6Xcv6MlEHHylk8SKQ1,0.5
4mK0JRfaDrdNpYDPV6SFHp,3JeT6Xcv6MlEHHylk8SKQ1,1.0
4mK0JRfaDrdNpYDPV6SFHp,1l2fOAombrcYiQ4N87P22P,0.5
3JeT6Xcv6MlEHHylk8SKQ1,1l2fOAombrcYiQ4N87P22P,1.0
3JeT6Xcv6MlEHHylk8SKQ1,17prKj790SV3s6n5ZoMEyg,0.5
1l2fOAombrcYiQ4N87P22P,17prKj790SV3s6n5ZoMEyg,1.0
1l2fOAombrcYiQ4N87P22P,2uB9gUU1HLnHckvK2tylJM,0.5
6gYqtFQqdXsNttPD2ze2kk,522oSSdYJqadyIK80MOOqz,1.0
6gYqtFQqdXsNttPD2ze2kk,4iEOVEULZRvmzYSZY2ViKN,0.5
522oSSdYJqadyIK80MOOqz,4iEOVEULZRvmzYSZY2ViKN,1.0
522oSSdYJqadyIK80MOOqz,4qiuU8X6v2Bimr3lBjS98N,0.5
4iEOVEULZRvmzYSZY2ViKN,4qiuU8X6v2Bimr3lBjS98N,1.0
4iEOVEULZRvmzYSZY2ViKN,1B5BfvGVQ5fPtDN2K8tUdy,0.5
4qiuU8X6v2Bimr3lBjS98N,1B5BfvGVQ5fPtDN2K8tUdy,1.0
4qiuU8X6v2Bimr3lBjS98N,5rY9hTwEjt5pCN5dqY9FJu,0.5
0q3e8Pgy4sgy1dzq5JIWVC,2dgrYdgguVZKeCsrVb9XEs,1.0
0q3e8Pgy4sgy1dzq5JIWVC,2gvcy8LxasMzqWqPJVgsmQ,0.5
2dgrYdgguVZKeCsrVb9XEs,2gvcy8LxasMzqWqPJVgsmQ,1.0
2dgrYdgguVZKeCsrVb9XEs,0pi5YiOUYF8fxVMkMbHMsm,0.5
2gvcy8LxasMzqWqPJVgsmQ,0pi5YiOUYF8fxVMkMbHMsm,1.0
2gvcy8LxasMzqWqPJVgsmQ,15eduSFXnQfnQvcmWHDBPi,0.5
0pi5YiOUYF8fxVMkMbHMsm,15eduSFXnQfnQvcmWHDBPi,1.0
0pi5YiOUYF8fxVMkMbHMsm,2IUrNMMUn8fJA1KV5sg97p,0.5
15eduSFXnQfnQvcmWHDBPi,2IUrNMMUn8fJA1KV5sg97p,1.0
15eduSFXnQfnQvcmWHDBPi,7abPXehMoF3iV4LJddq8ar,0.5
2IUrNMMUn8fJA1KV5sg97p,7abPXehMoF3iV4LJddq8ar,1.0
2IUrNMMUn8fJA1KV5sg97p,7lhkOb0VNnTlshwifCEoSr,0.5
7abPXehMoF3iV4LJddq8ar,7lhkOb0VNnTlshwifCEoSr,1.0
7abPXehMoF3iV4LJddq8ar,1jQyc3hZdalk3jCIfgTdcn,0.5
7lhkOb0VNnTlshwifCEoSr,1jQyc3hZdalk3jCIfgTdcn,1.0
7lhkOb0VNnTlshwifCEoSr,0BSPhsCKfwENstErymcD80,0.5
23XmBijMpljQqee05QvmTt,3UhwLECceDZeKBr6xhw3fy,1.0
23XmBijMpljQqee05QvmTt,2RXwaxD5vfbNjsu5FPWb46,0.5
3UhwLECceDZeKBr6xhw3fy,2RXwaxD5vfbNjsu5FPWb46,1.0
3UhwLECceDZeKBr6xhw3fy,1wImUPvZ4AwcalEK6ZR17b,0.5
2RXwaxD5vfbNjsu5FPWb46,1wImUPvZ4AwcalEK6ZR17b,1.0
2RXwaxD5vfbNjsu5FPWb46,4l6Ni4ym9y3am94yvuKHcY,0.5
1wImUPvZ4AwcalEK6ZR17b,4l6Ni4ym9y3am94yvuKHcY,1.0
1wImUPvZ4AwcalEK6ZR17b,59Lf7JZarHeKndgFleAHJC,0.5
4l6Ni4ym9y3am94yvuKHcY,59Lf7JZarHeKndgFleAHJC,1.0
4l6Ni4ym9y3am94yvuKHcY,1P3eYnB5KiF4S2qZ7iQnOP,0.5
59Lf7JZarHeKndgFleAHJC,1P3eYnB5KiF4S2qZ7iQnOP,1.0
59Lf7JZarHeKndgFleAHJC,5FHXxdJeq1iAE9PjDTEgyd,0.5
1P3eYnB5KiF4S2qZ7iQnOP,5FHXxdJeq1iAE9PjDTEgyd,1.0
1P3eYnB5KiF4S2qZ7iQnOP,6y8CSbkH7Vlq4SwUE9tzqf,0.5
5FHXxdJeq1iAE9PjDTEgyd,6y8CSbkH7Vlq4SwUE9tzqf,1.0
5FHXxdJeq1iAE9PjDTEgyd,0xv7f0iJxtzLTGO9eDwlbh,0.5
6y8CSbkH7Vlq4SwUE9tzqf,0xv7f0iJxtzLTGO9eDwlbh,1.0
6y8CSbkH7Vlq4SwUE9tzqf,5g3TDpgy1J1woAUVuj21EE,0.5
71D8JaDTJU7JDaZHdL5bL4,49fueUd2ik003xurF75RB6,1.0
71D8JaDTJU7JDaZHdL5bL4,5p7GiBZNL1afJJDUrOA6C8,0.5
49fueUd2ik003xurF75RB6,5p7GiBZNL1afJJDUrOA6C8,1.0
49fueUd2ik003xurF75RB6,5SXVHZqF1iFzveLzeamg70,0.5
5p7GiBZNL1afJJDUrOA6C8,5SXVHZqF1iFzveLzeamg70,1.0
5p7GiBZNL1afJJDUrOA6C8,7KwJrAQMoJyUEBes3evMLv,0.5
5SXVHZqF1iFzveLzeamg70,7KwJrAQMoJyUEBes3evMLv,1.0
5SXVHZqF1iFzveLzeamg70,4vTCp3sD36YIm2PsJ1w5CT,0.5
7KwJrAQMoJyUEBes3evMLv,4vTCp3sD36YIm2PsJ1w5CT,1.0
7KwJrAQMoJyUEBes3evMLv,4hSfY4G2SIUlwGViX1ve6J,0.5
61sHYSKJSyndNCLtmtRcv3,0GARqhVTsP5GA6q1G3xWph,1.0
61sHYSKJSyndNCLtmtRcv3,6UjeFOCGYgMpBUtqKg1Je3,0.5
5vw6mb5UUdA3vVQfcFN8yA,53dkS3h9uTNsWYZTPacnpx,1.0
5vw6mb5UUdA3vVQfcFN8yA,49fueUd2ik003xurF75RB6,0.5
53dkS3h9uTNsWYZTPacnpx,49fueUd2ik003xurF75RB6,1.0
53dkS3h9uTNsWYZTPacnpx,1XQhZctQWzkznclbmbE7FQ,0.5
49fueUd2ik003xurF75RB6,1XQhZctQWzkznclbmbE7FQ,1.0
49fueUd2ik003xurF75RB6,6bYWdnmdsTTKiQWWsQ3ZAB,0.5
1XQhZctQWzkznclbmbE7FQ,6bYWdnmdsTTKiQWWsQ3ZAB,1.0
1XQhZctQWzkznclbmbE7FQ,1KFtR58Hn1nQ9fR0DRnC9n,0.5
6bYWdnmdsTTKiQWWsQ3ZAB,1KFtR58Hn1nQ9fR0DRnC9n,1.0
6bYWdnmdsTTKiQWWsQ3ZAB,4htrQYWuhYis2w8DqLhpoU,0.5
1KFtR58Hn1nQ9fR0DRnC9n,4htrQYWuhYis2w8DqLhpoU,1.0
1KFtR58Hn1nQ9fR0DRnC9n,5p7GiBZNL1afJJDUrOA6C8,0.5
4htrQYWuhYis2w8DqLhpoU,5p7GiBZNL1afJJDUrOA6C8,1.0
4htrQYWuhYis2w8DqLhpoU,5OUTFH5acycdnf8OVo21Gv,0.5
5p7GiBZNL1afJJDUrOA6C8,5OUTFH5acycdnf8OVo21Gv,1.0
5p7GiBZNL1afJJDUrOA6C8,5dcZUsgcMW57ju0A379O7c,0.5
5oJ6pSfpV5HH9QBeXyNMjJ,5p7GiBZNL1afJJDUrOA6C8,1.0
5oJ6pSfpV5HH9QBeXyNMjJ,4Z9npQ93MrnIkRcTBKwSa3,0.5
5p7GiBZNL1afJJDUrOA6C8,4Z9npQ93MrnIkRcTBKwSa3,1.0
5p7GiBZNL1afJJDUrOA6C8,5GUvXUx0GbyBKO2f8yQxFn,0.5
4Z9npQ93MrnIkRcTBKwSa3,5GUvXUx0GbyBKO2f8yQxFn,1.0
4Z9npQ93MrnIkRcTBKwSa3,322vI2bPcLJeDxltXD9hzD,0.5
5nVK2UTeK0vJYePgxOjFPz,2z4JYKZDLlFziglbMBKce0,1.0
5nVK2UTeK0vJYePgxOjFPz,6MDLO5bi8mGexqSwF9KmpH,0.5
2z4JYKZDLlFziglbMBKce0,6MDLO5bi8mGexqSwF9KmpH,1.0
2z4JYKZDLlFziglbMBKce0,4isFUxQUxqEGUbwnYIV1se,0.5
6MDLO5bi8mGexqSwF9KmpH,4isFUxQUxqEGUbwnYIV1se,1.0
6MDLO5bi8mGexqSwF9KmpH,6R1qYGx8abmNGz0yPNQQpL,0.5
4isFUxQUxqEGUbwnYIV1se,6R1qYGx8abmNGz0yPNQQpL,1.0
4isFUxQUxqEGUbwnYIV1se,5ICdHl6m8XMMZbvAR3fylo,0.5
6R1qYGx8abmNGz0yPNQQpL,5ICdHl6m8XMMZbvAR3fylo,1.0
6R1qYGx8abmNGz0yPNQQpL,7qPdc4CH1GGZaHBImyoZ69,0.5
3Eaj6hXJ8EA0kDD5vELuZ1,6MDLO5bi8mGexqSwF9KmpH,1.0
3Eaj6hXJ8EA0kDD5vELuZ1,5RgriAx2GoIw4OGMH3UY7z,0.5
6MDLO5bi8mGexqSwF9KmpH,5RgriAx2GoIw4OGMH3UY7z,1.0
6MDLO5bi8mGexqSwF9KmpH,4N6exMSMqY4peFgmppsG89,0.5
5RgriAx2GoIw4OGMH3UY7z,4N6exMSMqY4peFgmppsG89,1.0
5RgriAx2GoIw4OGMH3UY7z,18rQjB8xZ46yx4ZXbytc18,0.5
4N6exMSMqY4peFgmppsG89,18rQjB8xZ46yx4ZXbytc18,1.0
4N6exMSMqY4peFgmppsG89,5GUvXUx0GbyBKO2f8yQxFn,0.5
1pGAvZo2axYXAXYiSeYEqY,4qQFwn7DUSL3qV8psue32d,1.0
1pGAvZo2axYXAXYiSeYEqY,5HGUspDizYWe0Wiu1zrpO9,0.5
4qQFwn7DUSL3qV8psue32d,5HGUspDizYWe0Wiu1zrpO9,1.0
4qQFwn7DUSL3qV8psue32d,2bXNVNDdYvAXxf5f33WHy7,0.5
5HGUspDizYWe0Wiu1zrpO9,2bXNVNDdYvAXxf5f33WHy7,1.0
5HGUspDizYWe0Wiu1zrpO9,1oSOyE9Ap4PNSpxfirRPDs,0.5
2bXNVNDdYvAXxf5f33WHy7,1oSOyE9Ap4PNSpxfirRPDs,1.0
2bXNVNDdYvAXxf5f33WHy7,6YuuVQrKl7szCoRFwsDnie,0.5
1oSOyE9Ap4PNSpxfirRPDs,6YuuVQrKl7szCoRFwsDnie,1.0
1oSOyE9Ap4PNSpxfirRPDs,3TZ3MrnTDMGk9dAqlxhI5Y,0.5
6YuuVQrKl7szCoRFwsDnie,3TZ3MrnTDMGk9dAqlxhI5Y,1.0
6YuuVQrKl7szCoRFwsDnie,49fueUd2ik003xurF75RB6,0.5
3TZ3MrnTDMGk9dAqlxhI5Y,49fueUd2ik003xurF75RB6,1.0
3TZ3MrnTDMGk9dAqlxhI5Y,7e5SGWf9p2SpzKBjgWlzdq,0.5
49fueUd2ik003xurF75RB6,7e5SGWf9p2SpzKBjgWlzdq,1.0
49fueUd2ik003xurF75RB6,1gwB979FoRSQhD4HfwlfMD,0.5
7e5SGWf9p2SpzKBjgWlzdq,1gwB979FoRSQhD4HfwlfMD,1.0
7e5SGWf9p2SpzKBjgWlzdq,7JIbqoUBpb3E9YdnVTvwdO,0.5
1gwB979FoRSQhD4HfwlfMD,7JIbqoUBpb3E9YdnVTvwdO,1.0
1gwB979FoRSQhD4HfwlfMD,3ipzZgH1766XXRamVwk1Iw,0.5
7JIbqoUBpb3E9YdnVTvwdO,3ipzZgH1766XXRamVwk1Iw,1.0
7JIbqoUBpb3E9YdnVTvwdO,58yWJFglBzvZ7Zao70lGtJ,0.5
3ipzZgH1766XXRamVwk1Iw,58yWJFglBzvZ7Zao70lGtJ,1.0
3ipzZgH1766XXRamVwk1Iw,1cJnzAIutJrrO8NUGd6347,0.5
58yWJFglBzvZ7Zao70lGtJ,1cJnzAIutJrrO8NUGd6347,1.0
58yWJFglBzvZ7Zao70lGtJ,4xZNRIiWsgKZ51dHDvOfh1,0.5
1cJnzAIutJrrO8NUGd6347,4xZNRIiWsgKZ51dHDvOfh1,1.0
1cJnzAIutJrrO8NUGd6347,7FAIbXzdXDjOccdMaTxmwz,0.5
4xZNRIiWsgKZ51dHDvOfh1,7FAIbXzdXDjOccdMaTxmwz,1.0
4xZNRIiWsgKZ51dHDvOfh1,0IabpxMpUV7waD7U4uDIMJ,0.5
7FAIbXzdXDjOccdMaTxmwz,0IabpxMpUV7waD7U4uDIMJ,1.0
7FAIbXzdXDjOccdMaTxmwz,1UGD3lW3tDmgZfAVDh6w7r,0.5
0IabpxMpUV7waD7U4uDIMJ,1UGD3lW3tDmgZfAVDh6w7r,1.0
0IabpxMpUV7waD7U4uDIMJ,0L1tKUzrIkBqFxl5rUqeSn,0.5
0q3e8Pgy4sgy1dzq5JIWVC,5p7GiBZNL1afJJDUrOA6C8,1.0
0q3e8Pgy4sgy1dzq5JIWVC,2Mdx3e6CojhqiR85uubsaj,0.5
5p7GiBZNL1afJJDUrOA6C8,2Mdx3e6CojhqiR85uubsaj,1.0
5p7GiBZNL1afJJDUrOA6C8,5hLTUkTuiGT7Xf3Hpn36h2,0.5
2Mdx3e6CojhqiR85uubsaj,5hLTUkTuiGT7Xf3Hpn36h2,1.0
2Mdx3e6CojhqiR85uubsaj,4aNsaULjrRRMUPXP9IcDEa,0.5
5hLTUkTuiGT7Xf3Hpn36h2,4aNsaULjrRRMUPXP9IcDEa,1.0
5hLTUkTuiGT7Xf3Hpn36h2,0r1sOGFlp5or50ez2NQr95,0.5
4aNsaULjrRRMUPXP9IcDEa,0r1sOGFlp5or50ez2NQr95,1.0
4aNsaULjrRRMUPXP9IcDEa,43ouKEbDr397DJEd0Oe2ap,0.5
0r1sOGFlp5or50ez2NQr95,43ouKEbDr397DJEd0Oe2ap,1.0
0r1sOGFlp5or50ez2NQr95,2wsW7FXHByxfP6Qzwf4iaj,0.5
43ouKEbDr397DJEd0Oe2ap,2wsW7FXHByxfP6Qzwf4iaj,1.0
43ouKEbDr397DJEd0Oe2ap,2TtfZ8mzvb45VzPvzOatjr,0.5
2wsW7FXHByxfP6Qzwf4iaj,2TtfZ8mzvb45VzPvzOatjr,1.0
2wsW7FXHByxfP6Qzwf4iaj,6MDLO5bi8mGexqSwF9KmpH,0.5
2TtfZ8mzvb45VzPvzOatjr,6MDLO5bi8mGexqSwF9KmpH,1.0
2TtfZ8mzvb45VzPvzOatjr,0UcRp6HeHiGDXyuzINtd7P,0.5
6MDLO5bi8mGexqSwF9KmpH,0UcRp6HeHiGDXyuzINtd7P,1.0
6MDLO5bi8mGexqSwF9KmpH,4vTCp3sD36YIm2PsJ1w5CT,0.5
0UcRp6HeHiGDXyuzINtd7P,4vTCp3sD36YIm2PsJ1w5CT,1.0
0UcRp6HeHiGDXyuzINtd7P,4YPhn26bIFm2KUkL1VLzQG,0.5
4z5Wok98ZeXmtjlcajbPmx,7hniD3L7AJUoBpytFpkcDn,1.0
4z5Wok98ZeXmtjlcajbPmx,5YpeGkqIZBKCBLIvvG7KsF,0.5
7hniD3L7AJUoBpytFpkcDn,5YpeGkqIZBKCBLIvvG7KsF,1.0
7hniD3L7AJUoBpytFpkcDn,03jaD8yizTrRPD4KPB2dZ5,0.5
5YpeGkqIZBKCBLIvvG7KsF,03jaD8yizTrRPD4KPB2dZ5,1.0
5YpeGkqIZBKCBLIvvG7KsF,2HjukRh8jwoQm3MAuqwpib,0.5
03jaD8yizTrRPD4KPB2dZ5,2HjukRh8jwoQm3MAuqwpib,1.0
03jaD8yizTrRPD4KPB2dZ5,3zKQ7LvEHjW3v1e2MTBxU0,0.5
2HjukRh8jwoQm3MAuqwpib,3zKQ7LvEHjW3v1e2MTBxU0,1.0
2HjukRh8jwoQm3MAuqwpib,4q0CeoDsBdFYCDDj3a6Jej,0.5
3zKQ7LvEHjW3v1e2MTBxU0,4q0CeoDsBdFYCDDj3a6Jej,1.0
3zKQ7LvEHjW3v1e2MTBxU0,2x5Frs6ts14U4MSLrQQlXg,0.5
4q0CeoDsBdFYCDDj3a6Jej,2x5Frs6ts14U4MSLrQQlXg,1.0
4q0CeoDsBdFYCDDj3a6Jej,1vIF4ZNaGZvGER6B5OIIQ1,0.5
2x5Frs6ts14U4MSLrQQlXg,1vIF4ZNaGZvGER6B5OIIQ1,1.0
2x5Frs6ts14U4MSLrQQlXg,77iRifbhkJGvGBBRNykUwN,0.5
1vIF4ZNaGZvGER6B5OIIQ1,77iRifbhkJGvGBBRNykUwN,1.0
1vIF4ZNaGZvGER6B5OIIQ1,2GRDDzw7TnGRawKSZPnKv2,0.5
77iRifbhkJGvGBBRNykUwN,2GRDDzw7TnGRawKSZPnKv2,1.0
77iRifbhkJGvGBBRNykUwN,1KHdXgBdPvihVRLO1EM25z,0.5
1Y63rJLx2KbigqvlXXwRNX,7ux3GagFGzxUtHOpWSQNUS,1.0
1Y63rJLx2KbigqvlXXwRNX,2noZyJJ8acXelnG0Id4raV,0.5
7ux3GagFGzxUtHOpWSQNUS,2noZyJJ8acXelnG0Id4raV,1.0
7ux3GagFGzxUtHOpWSQNUS,0nDyuRDSaYF0Zf9XHpKFsU,0.5
2noZyJJ8acXelnG0Id4raV,0nDyuRDSaYF0Zf9XHpKFsU,1.0
2noZyJJ8acXelnG0Id4raV,3qT1rUsSg9Qf43YMFwX4vm,0.5
0nDyuRDSaYF0Zf9XHpKFsU,3qT1rUsSg9Qf43YMFwX4vm,1.0
0nDyuRDSaYF0Zf9XHpKFsU,7qU7vhCPKhkDiJYGoboISc,0.5
3qT1rUsSg9Qf43YMFwX4vm,7qU7vhCPKhkDiJYGoboISc,1.0
3qT1rUsSg9Qf43YMFwX4vm,6rtwULJIwFVMSU0g4FY6zf,0.5
7qU7vhCPKhkDiJYGoboISc,6rtwULJIwFVMSU0g4FY6zf,1.0
7qU7vhCPKhkDiJYGoboISc,66MpvsWO5O7gy9LjXGFw6I,0.5
6rtwULJIwFVMSU0g4FY6zf,66MpvsWO5O7gy9LjXGFw6I,1.0
6rtwULJIwFVMSU0g4FY6zf,6MDLO5bi8mGexqSwF9KmpH,0.5
66MpvsWO5O7gy9LjXGFw6I,6MDLO5bi8mGexqSwF9KmpH,1.0
66MpvsWO5O7gy9LjXGFw6I,77iRifbhkJGvGBBRNykUwN,0.5
6MDLO5bi8mGexqSwF9KmpH,77iRifbhkJGvGBBRNykUwN,1.0
6MDLO5bi8mGexqSwF9KmpH,6R1qYGx8abmNGz0yPNQQpL,0.5
77iRifbhkJGvGBBRNykUwN,6R1qYGx8abmNGz0yPNQQpL,1.0
77iRifbhkJGvGBBRNykUwN,6YGVK9xgH2LI4Ghw6gqUxx,0.5
18rQjB8xZ46yx4ZXbytc18,6MDLO5bi8mGexqSwF9KmpH,1.0
18rQjB8xZ46yx4ZXbytc18,4vTCp3sD36YIm2PsJ1w5CT,0.5
6MDLO5bi8mGexqSwF9KmpH,4vTCp3sD36YIm2PsJ1w5CT,1.0
6MDLO5bi8mGexqSwF9KmpH,49fueUd2ik003xurF75RB6,0.5
4vTCp3sD36YIm2PsJ1w5CT,49fueUd2ik003xurF75RB6,1.0
4vTCp3sD36YIm2PsJ1w5CT,0vBTlZLCQFlPIyUo0YYQDR,0.5
1mT6bWmDk49SpjrZGC96pa,03sEEzFv7vnD54KRwU47Ue,1.0
1mT6bWmDk49SpjrZGC96pa,0p1ZvKFcy7tRv9n6G9MQv1,0.5
7vFgyZcyz3Db1X4S0RNOEA,4HA4lfsAf9h1loCFZVs40D,1.0
7vFgyZcyz3Db1X4S0RNOEA,7zli6jp0kEVxIa51A7TCKr,0.5
4HA4lfsAf9h1loCFZVs40D,7zli6jp0kEVxIa51A7TCKr,1.0
4HA4lfsAf9h1loCFZVs40D,66UI237YMw6AL6S72FGKND,0.5
7zli6jp0kEVxIa51A7TCKr,66UI237YMw6AL6S72FGKND,1.0
7zli6jp0kEVxIa51A7TCKr,5iCdECVcGtR2DMEjPM92yn,0.5
66UI237YMw6AL6S72FGKND,5iCdECVcGtR2DMEjPM92yn,1.0
66UI237YMw6AL6S72FGKND,6KX9OBcB9yiCiu4deWRPsh,0.5
5iCdECVcGtR2DMEjPM92yn,6KX9OBcB9yiCiu4deWRPsh,1.0
5iCdECVcGtR2DMEjPM92yn,3YpZCyr3OOQsASKaUUzrQ2,0.5
6KX9OBcB9yiCiu4deWRPsh,3YpZCyr3OOQsASKaUUzrQ2,1.0
6KX9OBcB9yiCiu4deWRPsh,7yZTPEXSUqWw7sEYKKDv2N,0.5
3YpZCyr3OOQsASKaUUzrQ2,7yZTPEXSUqWw7sEYKKDv2N,1.0
3YpZCyr3OOQsASKaUUzrQ2,6so48MMmpvNnVW0SIJMhiP,0.5
7yZTPEXSUqWw7sEYKKDv2N,6so48MMmpvNnVW0SIJMhiP,1.0
7yZTPEXSUqWw7sEYKKDv2N,242xSYKIw1ZUF1lopmUwyk,0.5
6so48MMmpvNnVW0SIJMhiP,242xSYKIw1ZUF1lopmUwyk,1.0
